Seila2;Seila;Americana;61;59;42;59;Itatiba;Americana;Santa Barbara;Seila;Americana;Sumare;19;Maria
Seila;Campinas;Itatiba;Campinas;Santa Barbara;Not Named;Seila;Itatiba;Campinas;Sumare;Campinas;Neide;Sumare;Americana;Neide
Americana;42;Sumare;Seila2;Santa Barbara;Jose;Santa Barbara;Americana;32;Itatiba;Americana;Americana;Itatiba;34;Campinas
Campinas;Campinas;Americana;Neide;Itatiba;Neide;Americana;Campinas;64;18;Maria;Itatiba;76;35;Itatiba
27;Campinas;38;41;Americana;Campinas;Americana;Itatiba;Jose;Campinas;Campinas;Itatiba;Itatiba;33;Itatiba
62;Campinas;Seila2;21;Itatiba;Americana;49;Itatiba;Americana;Campinas;Itatiba;46;Campinas;Seila2;47
Campinas;Seila2;Campinas;10;38;Campinas;45;Santa Barbara;Itatiba;Jose;Seila2;Campinas;Itatiba;Seila;Americana
Itatiba;50;Seila;Santa Barbara;Campinas;Itatiba;Santa Barbara;Seila2;Sumare;Itatiba;20;Campinas;Americana;Maria;Sumare
75;Santa Barbara;Neide;Campinas;72;Itatiba;Not Named;Itatiba;Maria;Campinas;54;Campinas;Maria;Itatiba;Sumare
Americana;Americana;77;Americana;Campinas;Seila2;Sumare;69;Itatiba;28;Sumare;Sumare;Sumare;Itatiba;Americana
Americana;Campinas;Sumare;37;Americana;Santa Barbara;Maria;Campinas;Sumare;Maria;20;Maria;Not Named;Americana;52
Campinas;Campinas;12;Itatiba;61;Seila2;Seila2;Itatiba;Itatiba;Americana;Itatiba;Seila2;Campinas;Santa Barbara;Not Named
Itatiba;Seila;Itatiba;Seila;Campinas;Americana;Seila2;47;Americana;36;Seila2;Itatiba;Americana;33;Campinas
14;Americana;Seila;Campinas;45;Itatiba;Santa Barbara;Seila;Campinas;22;Campinas;Not Named;Maria;Santa Barbara;Americana
Seila2;Campinas;Americana;Campinas;71;74;Itatiba;45;Americana;34;40;25;68;Santa Barbara;Campinas
48;Itatiba;Seila;Neide;Americana;Itatiba;Jose;Americana;Maria;Maria;Maria;37;Not Named;Itatiba;Not Named
Campinas;Campinas;Campinas;Campinas;22;Santa Barbara;Americana;18;Campinas;Seila2;Americana;21;50;Campinas;Campinas
Americana;25;Americana;Itatiba;Itatiba;Americana;Neide;Americana;Itatiba;Maria;Seila2;Itatiba;Santa Barbara;Campinas;Itatiba
Campinas;Santa Barbara;Americana;11;Campinas;Not Named;Santa Barbara;Seila;Campinas;Neide;57;30;Not Named;Americana;Jose
Santa Barbara;Seila;Campinas;Americana;54;Americana;Itatiba;Sumare;Santa Barbara;51;Americana;Sumare;32;Sumare;Neide
Itatiba;Americana;39;Santa Barbara;Santa Barbara;Americana;16;Seila2;Sumare;50;48;Americana;Not Named;27;Americana
Seila;16;Sumare;Americana;Campinas;Sumare;Not Named;Not Named;Itatiba;Campinas;Neide;Not Named;75;Americana;25
34;Campinas;Santa Barbara;15;Americana;Itatiba;Seila;40;Campinas;Seila;68;Not Named;Jose;28;Itatiba
Americana;Campinas;Campinas;Campinas;Campinas;Seila;Santa Barbara;Campinas;74;47;Santa Barbara;Americana;Seila;Americana;Seila2
12;Maria;Seila2;Americana;Itatiba;Campinas;Santa Barbara;Seila;Seila2;Seila2;19;34;Not Named;61;Seila2
Sumare;Seila2;Neide;71;Sumare;Itatiba;Not Named;Americana;Campinas;Americana;39;39;Jose;38;Not Named
49;Americana;Americana;64;Americana;Jose;Sumare;Campinas;34;32;Sumare;Americana;17;24;Seila
Campinas;Campinas;Jose;Americana;Not Named;35;Sumare;Sumare;Americana;Not Named;Americana;Not Named;Maria;Americana;Seila
Sumare;Campinas;Sumare;75;19;Campinas;Seila;Maria;Jose;Campinas;Sumare;Seila2;Itatiba;39;Itatiba
Not Named;67;48;Americana;Seila2;Seila;Americana;Sumare;Americana;Americana;Not Named;Maria;Campinas;Itatiba;Itatiba
Seila2;Sumare;Seila;28;Santa Barbara;Neide;Itatiba;76;Itatiba;Itatiba;Itatiba;Neide;Campinas;Neide;Seila
72;Campinas;51;67;47;20;Santa Barbara;Campinas;Maria;Americana;32;Maria;35;Itatiba;Sumare
67;Itatiba;Americana;Campinas;58;Seila2;52;25;Itatiba;Americana;Seila2;Seila;Itatiba;Campinas;Maria
54;66;Seila;Neide;Americana;24;Itatiba;34;Santa Barbara;Americana;62;Neide;Campinas;Americana;Americana
Campinas;Maria;Sumare;22;Americana;Seila2;Neide;Neide;19;Seila2;48;60;54;Campinas;Not Named
66;Santa Barbara;47;Seila;71;Itatiba;Americana;Santa Barbara;Itatiba;Americana;37;62;Seila2;Campinas;Campinas
57;Campinas;71;Itatiba;54;Itatiba;Santa Barbara;Itatiba;14;Neide;15;Neide;60;12;23
Americana;Americana;Itatiba;Itatiba;Campinas;Maria;12;Seila2;13;41;Itatiba;73;Americana;Maria;Santa Barbara
45;Itatiba;Santa Barbara;Campinas;Itatiba;Santa Barbara;54;Sumare;Santa Barbara;Seila;Americana;Americana;Americana;Neide;Seila
Americana;Seila2;Maria;66;Seila;Santa Barbara;Santa Barbara;Sumare;Seila2;70;Campinas;Maria;Neide;Campinas;Itatiba
70;Campinas;Seila;Neide;Itatiba;60;Sumare;Campinas;Itatiba;Maria;54;Santa Barbara;57;57;Maria
Americana;55;Seila;Seila2;Neide;35;Not Named;15;Americana;15;Sumare;Seila2;Not Named;Americana;Campinas
43;Itatiba;Campinas;Maria;Seila2;Americana;Santa Barbara;Campinas;Campinas;Americana;20;Americana;Sumare;Seila2;51
Americana;Itatiba;34;Maria;65;Santa Barbara;Neide;32;Santa Barbara;Campinas;49;30;Itatiba;17;58
Maria;57;37;Santa Barbara;Jose;Itatiba;32;Americana;36;Campinas;Seila;Santa Barbara;Itatiba;15;Americana
Sumare;Americana;Seila;Not Named;28;Seila2;Americana;Itatiba;Campinas;32;Itatiba;Sumare;Sumare;Sumare;Maria
23;65;Seila;Americana;Sumare;57;Campinas;Neide;Americana;15;Maria;Itatiba;Maria;Neide;Sumare
51;Americana;60;Campinas;23;Santa Barbara;Campinas;Maria;Not Named;Itatiba;Sumare;Maria;15;Itatiba;Campinas
Itatiba;Americana;Neide;Neide;Americana;Campinas;Campinas;Sumare;Seila2;30;Itatiba;Campinas;Sumare;Americana;Americana
42;Campinas;Seila2;30;Campinas;Itatiba;Americana;71;Santa Barbara;Itatiba;Maria;Itatiba;Santa Barbara;Santa Barbara;Santa Barbara
Seila2;Americana;Seila2;25;35;Campinas;Campinas;Itatiba;Campinas;27;Neide;Sumare;Campinas;Americana;Itatiba
Campinas;Santa Barbara;Itatiba;Itatiba;Seila2;Not Named;52;Campinas;Seila;15;13;Campinas;Americana;Maria;Seila2
69;Itatiba;39;Campinas;Santa Barbara;Maria;Itatiba;61;18;Americana;Santa Barbara;Campinas;Americana;17;64
Seila2;63;Americana;Sumare;Itatiba;39;44;Neide;Americana;Campinas;Maria;Seila2;47;24;Americana
Itatiba;Itatiba;Jose;76;Itatiba;Americana;51;Americana;Campinas;55;Itatiba;69;Santa Barbara;Seila;Americana
Seila;Campinas;16;10;Americana;40;Campinas;Americana;47;Seila2;74;Maria;30;Itatiba;Itatiba
Itatiba;Americana;72;66;Campinas;Campinas;Americana;Sumare;Itatiba;Itatiba;Santa Barbara;Maria;Santa Barbara;Maria;Sumare
Seila2;57;75;68;Neide;Santa Barbara;Americana;Maria;50;Campinas;Seila;Americana;Neide;Campinas;74
Sumare;72;25;Campinas;Campinas;Americana;46;Maria;66;Jose;Neide;Jose;Neide;Maria;Santa Barbara
Neide;19;Itatiba;45;Santa Barbara;Campinas;Not Named;Santa Barbara;Sumare;Maria;Santa Barbara;Itatiba;37;Santa Barbara;31
73;Americana;24;Itatiba;Santa Barbara;Not Named;Seila;Americana;Itatiba;14;59;Sumare;Sumare;Sumare;Sumare
Sumare;Americana;Campinas;29;Americana;15;58;40;Itatiba;20;Campinas;Neide;Santa Barbara;Americana;73
42;Americana;Seila;15;Neide;Santa Barbara;Jose;32;Santa Barbara;27;Maria;Campinas;77;32;Maria
Maria;Itatiba;Campinas;51;11;54;62;Itatiba;Jose;Not Named;Seila2;Campinas;Campinas;Seila2;34
Americana;Maria;Not Named;Itatiba;Americana;Campinas;Itatiba;Campinas;Itatiba;Neide;Itatiba;56;58;Americana;Neide
Campinas;Jose;39;Itatiba;Seila;Itatiba;Seila2;Seila2;Seila2;Campinas;Itatiba;Campinas;60;Campinas;Campinas
30;Americana;Itatiba;Itatiba;Americana;Americana;Maria;Americana;Campinas;Campinas;Maria;Santa Barbara;Campinas;Americana;Americana
56;Americana;Santa Barbara;Seila2;Itatiba;Campinas;Campinas;14;Sumare;11;Americana;Itatiba;Americana;Neide;Maria
Americana;Jose;38;Campinas;Itatiba;28;Maria;Sumare;Itatiba;Americana;Itatiba;50;77;Itatiba;Neide
Neide;Itatiba;42;Americana;Jose;Neide;Maria;Campinas;Americana;Americana;Santa Barbara;30;Santa Barbara;Jose;Campinas
Americana;57;Sumare;61;29;Sumare;Seila;Americana;37;48;Americana;Americana;Maria;Neide;64
Americana;55;Seila;16;Maria;41;30;51;Sumare;Campinas;54;Seila;68;Jose;Campinas
Americana;Santa Barbara;Maria;23;Santa Barbara;Itatiba;Campinas;Neide;Santa Barbara;68;Americana;Itatiba;Campinas;Seila;Campinas
Neide;Campinas;Santa Barbara;16;30;Seila;Americana;Campinas;Campinas;48;Maria;55;Campinas;Americana;Seila2
Campinas;Maria;Seila;15;58;Seila;Itatiba;Campinas;Americana;47;Maria;Americana;Americana;Itatiba;Neide
Sumare;43;Santa Barbara;Neide;Sumare;34;Campinas;Not Named;51;Itatiba;40;36;Itatiba;Campinas;Maria
Itatiba;Santa Barbara;42;Campinas;Americana;Americana;Itatiba;Seila2;Sumare;Itatiba;Sumare;Sumare;67;Jose;Seila
46;Americana;Seila2;Sumare;26;Sumare;Sumare;Americana;Itatiba;Americana;Americana;32;Itatiba;Itatiba;Americana
Americana;Seila2;Campinas;78;Sumare;Sumare;59;Campinas;Campinas;Campinas;15;Santa Barbara;Campinas;Americana;Campinas
Maria;Campinas;Campinas;Seila;67;Santa Barbara;51;Neide;Itatiba;Americana;26;36;Neide;25;54
46;Campinas;Jose;13;Itatiba;Campinas;Seila;Santa Barbara;Campinas;Neide;Campinas;Americana;Itatiba;Itatiba;Seila
Maria;Not Named;Maria;Americana;Santa Barbara;Santa Barbara;Americana;Americana;35;20;Santa Barbara;Campinas;71;Americana;Sumare
Jose;Not Named;18;Campinas;30;Seila;Itatiba;Jose;Campinas;Itatiba;Seila;Maria;Itatiba;20;Americana
Sumare;Americana;Sumare;Americana;Maria;Maria;Seila;Campinas;Campinas;Campinas;70;Itatiba;60;Neide;Americana
Itatiba;Maria;Not Named;Americana;Campinas;Sumare;Campinas;Santa Barbara;Americana;Santa Barbara;56;Sumare;Maria;Campinas;Itatiba
Seila2;Campinas;22;Americana;76;37;Itatiba;Americana;Maria;Itatiba;Itatiba;Americana;Maria;Santa Barbara;22
Itatiba;Campinas;Seila2;Americana;Itatiba;Santa Barbara;Americana;Sumare;Itatiba;Seila2;61;Americana;Not Named;64;60
Santa Barbara;47;Americana;Campinas;Santa Barbara;37;49;Itatiba;66;Americana;Jose;Americana;Seila;Sumare;Sumare
Itatiba;Neide;Seila;Americana;62;Seila;Campinas;Jose;Sumare;Americana;Neide;Americana;Seila;Americana;Neide
42;Sumare;Americana;61;Jose;Campinas;57;Santa Barbara;Americana;Campinas;17;49;Itatiba;Itatiba;Seila2
Campinas;Americana;51;Maria;Maria;59;63;Maria;Santa Barbara;Campinas;Itatiba;Itatiba;Santa Barbara;Campinas;Neide
39;Campinas;42;63;Neide;Campinas;Sumare;Santa Barbara;Jose;Maria;31;73;54;Seila2;Neide
Campinas;43;Sumare;Sumare;Jose;Sumare;Jose;Itatiba;17;Itatiba;Itatiba;Campinas;Santa Barbara;Seila2;Americana
Not Named;28;Not Named;Sumare;Sumare;Americana;Itatiba;65;Sumare;Sumare;Americana;18;Campinas;Americana;Not Named
Campinas;Sumare;Americana;Americana;Sumare;Seila2;Itatiba;Not Named;Itatiba;Sumare;Seila2;30;Seila2;45;Campinas
Americana;Neide;Seila;55;63;Seila2;Americana;Sumare;29;Santa Barbara;Campinas;Campinas;Americana;Campinas;29
77;77;Americana;24;53;Campinas;Seila;78;Americana;Itatiba;Americana;Seila2;Santa Barbara;Jose;Americana
Seila2;Sumare;Americana;38;Seila2;49;Seila;Campinas;Americana;29;Campinas;22;Americana;Jose;Campinas
Neide;Americana;Neide;Jose;Sumare;Americana;Sumare;Itatiba;Seila;Santa Barbara;60;Americana;Santa Barbara;Americana;Itatiba
11;Seila;Campinas;Seila;Jose;76;Itatiba;Campinas;Campinas;19;Itatiba;30;Americana;Itatiba;16
Seila;Americana;Not Named;18;Americana;Americana;Neide;15;Maria;41;Campinas;Americana;Itatiba;Maria;Maria
71;70;44;52;Jose;Campinas;Americana;Seila;Not Named;Maria;Campinas;Itatiba;Itatiba;40;Sumare
38;Seila2;59;71;Itatiba;Neide;Campinas;Itatiba;Americana;Neide;Maria;45;Sumare;Sumare;50
Sumare;Neide;28;Itatiba;Americana;Itatiba;Santa Barbara;Sumare;20;Neide;Campinas;75;Sumare;Santa Barbara;Campinas
Itatiba;Americana;14;Seila;18;Santa Barbara;Itatiba;Santa Barbara;Americana;52;47;30;Seila2;Itatiba;Campinas
Itatiba;Campinas;30;Campinas;Seila2;Seila2;Seila;Seila2;Santa Barbara;Neide;Campinas;Americana;65;Americana;Itatiba
69;Sumare;66;Seila2;Not Named;Campinas;Seila2;Seila2;Itatiba;Itatiba;Americana;Jose;Campinas;71;75
Americana;Seila2;Americana;Santa Barbara;Itatiba;Itatiba;26;Campinas;Jose;Maria;20;Seila;Seila2;Jose;Seila
36;Itatiba;51;39;Maria;Neide;Seila;65;15;Neide;41;23;Itatiba;Campinas;Itatiba
Americana;Seila2;Americana;Jose;Americana;Itatiba;Jose;Itatiba;Campinas;Americana;Seila;Campinas;Seila2;Seila2;Americana
39;Jose;Maria;66;Seila;Seila2;Seila2;Campinas;Americana;Maria;Itatiba;15;Itatiba;Seila2;Neide
45;Sumare;Seila;Seila2;73;34;Campinas;Seila;40;34;Campinas;Maria;56;Maria;70
Maria;Maria;Seila2;12;33;Campinas;Neide;Santa Barbara;Campinas;Santa Barbara;Americana;Seila2;Campinas;Sumare;32
Jose;56;Campinas;Seila;Americana;Campinas;Neide;Santa Barbara;Itatiba;Sumare;Seila2;Campinas;Campinas;Americana;Americana
Maria;Santa Barbara;42;Campinas;Campinas;29;Seila;Itatiba;Itatiba;56;Seila2;27;Maria;Campinas;Campinas
Jose;Americana;Americana;12;Jose;18;Itatiba;34;Seila2;Santa Barbara;Americana;14;Sumare;Sumare;Not Named
Sumare;Seila2;Itatiba;Itatiba;Not Named;25;Neide;Maria;47;Campinas;Americana;Itatiba;Campinas;Itatiba;Americana
Campinas;Maria;Campinas;Americana;70;Maria;16;Maria;Seila2;22;42;42;28;Maria;Neide
Seila2;Itatiba;Maria;61;Itatiba;Neide;Maria;Seila;Seila;Americana;69;Not Named;Santa Barbara;46;Americana
Santa Barbara;Neide;66;22;19;27;Seila2;68;Itatiba;Santa Barbara;Santa Barbara;24;64;41;33
Campinas;Neide;17;23;Maria;Sumare;50;Neide;Jose;52;Seila;Neide;68;Maria;43
Seila2;Maria;40;Seila2;Campinas;21;27;Not Named;Neide;Campinas;Americana;Santa Barbara;Itatiba;Not Named;Not Named
Americana;Sumare;Sumare;Santa Barbara;Sumare;Jose;Campinas;Santa Barbara;24;63;52;Maria;76;Campinas;Santa Barbara
18;26;Itatiba;22;71;Campinas;64;Campinas;49;Maria;58;Itatiba;Sumare;Maria;Maria
Americana;Sumare;63;52;Americana;Seila;Itatiba;Campinas;55;Seila2;Seila;54;Campinas;Jose;Americana
Seila2;Santa Barbara;Americana;15;Campinas;Not Named;Campinas;Campinas;Itatiba;44;14;Campinas;38;Campinas;Sumare
31;Santa Barbara;Seila;Campinas;Seila;Jose;19;Neide;78;Campinas;Seila2;Americana;57;Seila;Americana
Campinas;74;Americana;Americana;Santa Barbara;35;45;Campinas;Americana;64;Neide;Itatiba;74;33;Maria
Campinas;Itatiba;Americana;Americana;Itatiba;59;23;Santa Barbara;Americana;31;Americana;Jose;Campinas;Jose;28
Sumare;48;Itatiba;54;Santa Barbara;Campinas;71;20;Itatiba;Itatiba;Seila2;Itatiba;Not Named;Neide;71
48;Maria;Campinas;Itatiba;Itatiba;Santa Barbara;Neide;Itatiba;31;Seila;Campinas;Seila2;Americana;48;Itatiba
Sumare;Americana;Americana;Americana;Sumare;Sumare;46;Seila2;12;28;Itatiba;Sumare;Jose;Campinas;67
73;Itatiba;50;Americana;Seila2;Itatiba;28;Neide;Americana;Americana;Americana;Santa Barbara;Campinas;Americana;Campinas
67;Maria;Americana;Santa Barbara;Itatiba;Itatiba;76;Maria;Americana;Seila2;Itatiba;Itatiba;Sumare;Sumare;Seila
Neide;Campinas;Santa Barbara;Maria;38;Americana;74;Itatiba;Seila;Itatiba;60;54;Not Named;Itatiba;Maria
75;18;Itatiba;Americana;Itatiba;Americana;Santa Barbara;Itatiba;53;16;70;Santa Barbara;24;Campinas;Santa Barbara
Campinas;Itatiba;Sumare;Neide;63;Santa Barbara;Itatiba;Santa Barbara;Maria;Americana;Not Named;Seila2;Americana;43;Americana
Jose;70;61;11;63;Neide;Itatiba;Itatiba;Americana;Seila2;Not Named;Santa Barbara;Seila;Neide;Santa Barbara
57;46;Itatiba;Sumare;Itatiba;Santa Barbara;30;Campinas;62;Jose;24;Santa Barbara;Americana;59;Americana
Seila;Campinas;Sumare;Maria;Campinas;Sumare;Americana;Campinas;52;57;60;28;51;Campinas;Campinas
74;Not Named;Sumare;Campinas;53;Not Named;Americana;Seila;Seila;Jose;Jose;Americana;Itatiba;18;32
Seila;Americana;Sumare;Seila;71;Jose;32;30;Campinas;Sumare;Neide;Jose;Americana;Seila2;Santa Barbara
Santa Barbara;Americana;Campinas;55;54;Seila2;74;Campinas;Santa Barbara;27;Itatiba;Seila2;Americana;Campinas;Itatiba
40;65;Itatiba;Neide;Americana;Americana;Itatiba;Jose;Itatiba;Neide;61;Seila2;Itatiba;33;Seila2
Seila2;Seila2;38;43;Sumare;Seila;53;17;56;74;19;Campinas;66;Campinas;Maria
Not Named;Jose;60;59;29;Jose;Santa Barbara;Santa Barbara;Santa Barbara;Maria;42;Sumare;Seila2;Americana;Americana
Itatiba;Itatiba;Campinas;Campinas;Americana;Neide;Itatiba;Campinas;54;Santa Barbara;Seila2;42;Seila2;13;Seila
Americana;Seila;Itatiba;Not Named;Sumare;Sumare;37;Seila2;Seila;Not Named;Jose;Not Named;Neide;Americana;Americana
Itatiba;34;Itatiba;33;Maria;Itatiba;Neide;Santa Barbara;Campinas;Santa Barbara;17;Seila;32;Campinas;Sumare
Itatiba;Itatiba;Campinas;Sumare;Campinas;Seila;Itatiba;49;Jose;Itatiba;27;Itatiba;Seila2;Itatiba;69
68;Santa Barbara;Not Named;77;70;23;52;Seila2;11;Campinas;Americana;51;Jose;Campinas;Americana
Americana;Seila;Campinas;Campinas;Seila2;Campinas;Maria;Campinas;29;Itatiba;70;Americana;42;Itatiba;Santa Barbara
Seila;Sumare;Maria;Seila;Campinas;Itatiba;18;56;Sumare;74;Santa Barbara;29;Campinas;Not Named;Itatiba
Campinas;57;Itatiba;64;Sumare;Campinas;Jose;37;Jose;12;Americana;Campinas;Campinas;Neide;Americana
55;44;Campinas;68;36;Campinas;47;Not Named;Itatiba;Campinas;Sumare;Campinas;66;Neide;Itatiba
Sumare;Sumare;Americana;Campinas;62;77;Americana;57;70;Seila;Seila;23;29;Sumare;Itatiba
Sumare;Santa Barbara;Seila;Jose;Itatiba;45;Seila2;Americana;53;54;Sumare;Not Named;59;Campinas;Seila2
Itatiba;Americana;50;Maria;Neide;Campinas;Maria;48;30;Seila2;Neide;Not Named;Itatiba;Not Named;Campinas
62;Seila2;Campinas;Santa Barbara;75;Santa Barbara;54;Not Named;Campinas;Itatiba;66;Sumare;28;Maria;Americana
Americana;Maria;Campinas;Americana;Americana;Maria;15;13;Sumare;Itatiba;Campinas;Campinas;46;Seila;Americana
Americana;Campinas;Maria;Jose;Americana;Campinas;Seila;Americana;Seila2;Sumare;Neide;Sumare;33;Seila;Maria
Americana;23;Seila;Santa Barbara;Campinas;Campinas;Seila;Itatiba;Not Named;Itatiba;Seila2;65;Campinas;76;Americana
23;70;Americana;Maria;Seila2;Campinas;Americana;Santa Barbara;Americana;Campinas;Santa Barbara;77;Not Named;Seila;Campinas
Campinas;Sumare;Americana;Itatiba;Sumare;Sumare;52;36;Not Named;Santa Barbara;Sumare;Jose;Neide;Americana;Americana
Seila2;35;Sumare;Neide;Seila2;Seila2;Campinas;Itatiba;Itatiba;Santa Barbara;Seila;Maria;30;49;Itatiba
Itatiba;Jose;Sumare;Santa Barbara;Americana;Not Named;Seila2;Campinas;Neide;Americana;Itatiba;Seila;14;Campinas;Maria
52;Campinas;Itatiba;17;Itatiba;Americana;Maria;Seila;Americana;77;Jose;Neide;76;26;Americana
42;Not Named;Seila;Seila;Seila;Santa Barbara;Maria;76;Jose;Santa Barbara;Americana;Americana;Itatiba;78;Neide
Seila;51;Campinas;Sumare;Santa Barbara;Santa Barbara;11;52;69;Itatiba;Itatiba;17;10;76;Sumare
Americana;Americana;44;Americana;Maria;Campinas;Sumare;Seila2;Campinas;46;70;Seila2;Americana;Campinas;Maria
67;Santa Barbara;22;Santa Barbara;Itatiba;Americana;25;Campinas;Maria;Neide;71;Santa Barbara;Americana;77;Maria
Itatiba;21;Americana;Santa Barbara;Not Named;Campinas;Itatiba;Itatiba;Seila2;Sumare;62;Americana;Santa Barbara;Americana;21
Seila2;Seila;Americana;Santa Barbara;Americana;Itatiba;Sumare;Campinas;Maria;Itatiba;Seila2;Neide;Not Named;Seila2;72
Neide;Seila;Santa Barbara;Americana;Itatiba;77;Seila2;42;32;Americana;Americana;Campinas;14;24;Itatiba
Seila2;Santa Barbara;20;Americana;14;Santa Barbara;43;Itatiba;Americana;Seila;Seila;Seila2;Itatiba;75;Campinas
74;Campinas;Not Named;Santa Barbara;39;Americana;Maria;Campinas;Maria;69;Seila;Sumare;20;56;Seila2
Santa Barbara;Americana;Neide;56;Itatiba;Itatiba;Santa Barbara;Campinas;Americana;Neide;Jose;Seila2;Itatiba;Americana;Not Named
Americana;Neide;32;Campinas;Itatiba;11;Seila;Santa Barbara;Neide;Itatiba;Campinas;Jose;72;Not Named;Campinas
60;Neide;46;Itatiba;Americana;Seila;Campinas;19;Sumare;Itatiba;Itatiba;15;Itatiba;Itatiba;51
Maria;Santa Barbara;Campinas;Seila2;15;Santa Barbara;Americana;Santa Barbara;Campinas;Itatiba;Not Named;Sumare;Americana;Santa Barbara;Americana
Seila;Maria;59;Neide;Americana;Jose;Seila;52;Maria;Jose;Santa Barbara;45;Americana;Itatiba;Sumare
Campinas;64;27;Maria;42;Jose;Neide;Itatiba;Neide;Campinas;Americana;Seila2;39;Jose;61
Americana;Santa Barbara;77;Seila;Itatiba;Seila;Americana;Sumare;Itatiba;Americana;Itatiba;Campinas;Sumare;Campinas;38
Americana;Americana;Itatiba;43;Neide;Americana;Sumare;Maria;Itatiba;Santa Barbara;39;Seila2;Jose;Americana;Not Named
47;20;Campinas;Itatiba;Americana;Campinas;Seila;Santa Barbara;Seila2;Maria;Seila;Americana;Maria;14;60
Maria;Sumare;48;Sumare;Sumare;Campinas;Not Named;Americana;77;Itatiba;Santa Barbara;Sumare;50;Campinas;66
Americana;Campinas;Itatiba;Itatiba;Sumare;Campinas;Americana;Seila2;Seila;Not Named;68;45;Neide;Americana;Itatiba
Itatiba;Sumare;Maria;Itatiba;68;62;78;Seila;Campinas;Neide;Seila;Americana;Campinas;Seila2;25
18;Americana;61;Seila;Americana;Neide;Campinas;Jose;28;Neide;Seila;Jose;Sumare;56;Jose
Itatiba;Seila2;Sumare;27;Itatiba;Maria;Itatiba;Seila;Sumare;Itatiba;Itatiba;Itatiba;14;Itatiba;Sumare
59;Americana;Americana;Americana;Americana;Campinas;67;Maria;Campinas;Itatiba;Maria;Itatiba;Itatiba;Sumare;Campinas
Americana;26;Americana;Sumare;61;77;47;Sumare;Campinas;Americana;Seila;12;Itatiba;66;Seila
Americana;Neide;Maria;Campinas;Santa Barbara;20;Itatiba;Sumare;Itatiba;46;Neide;32;Americana;Not Named;Maria
Campinas;Americana;70;59;Itatiba;Seila2;Itatiba;Sumare;67;Santa Barbara;52;Americana;Neide;Americana;Campinas
Itatiba;Santa Barbara;Itatiba;26;55;12;Santa Barbara;Maria;Itatiba;Neide;Neide;Maria;Campinas;Jose;Campinas
Americana;Seila;76;Seila;Campinas;Santa Barbara;57;Americana;Sumare;Seila;49;Maria;Seila;Americana;43
19;Americana;72;Itatiba;Itatiba;Seila;72;Itatiba;Americana;Campinas;37;Not Named;Americana;Campinas;Campinas
Itatiba;40;Not Named;Itatiba;Jose;14;Sumare;Sumare;24;45;Santa Barbara;Americana;Campinas;Itatiba;Itatiba
Maria;Itatiba;53;Americana;Itatiba;20;Americana;Maria;13;Campinas;Americana;Campinas;Sumare;Maria;Maria
Sumare;Sumare;Campinas;Campinas;66;Seila;Maria;Not Named;58;Neide;Campinas;40;58;Campinas;Seila2
Campinas;Jose;77;57;Santa Barbara;Seila;37;Maria;Americana;Itatiba;Santa Barbara;Campinas;31;Seila;Santa Barbara
Campinas;Itatiba;Itatiba;Santa Barbara;Seila2;60;Santa Barbara;47;Campinas;Campinas;Americana;54;29;Campinas;Campinas
Sumare;43;Maria;Itatiba;Seila2;Santa Barbara;Seila;Americana;Maria;Santa Barbara;Americana;Sumare;Maria;62;Itatiba
14;Campinas;Itatiba;Neide;18;Sumare;Jose;Americana;Americana;Santa Barbara;46;Seila2;Americana;Campinas;Campinas
Campinas;Itatiba;Itatiba;57;68;Sumare;Sumare;Campinas;Santa Barbara;Americana;Neide;71;46;Sumare;Sumare
Campinas;Seila2;Sumare;67;Santa Barbara;Sumare;Itatiba;Americana;Americana;Sumare;Campinas;Sumare;76;Seila2;72
Americana;Not Named;Sumare;Americana;24;Neide;14;Neide;49;21;Campinas;69;58;Itatiba;Americana
Itatiba;Americana;Seila2;Santa Barbara;Maria;Campinas;39;Campinas;Itatiba;63;70;14;42;Campinas;18
Itatiba;34;Jose;Santa Barbara;37;16;Santa Barbara;Sumare;Campinas;Campinas;Campinas;46;Not Named;Maria;51
Campinas;Jose;38;Campinas;Seila2;Americana;Americana;Seila;54;Campinas;Americana;Itatiba;20;Americana;Seila
Seila2;Itatiba;23;53;Jose;71;Maria;Americana;Americana;71;47;Americana;Sumare;24;Campinas
Not Named;Seila;67;Sumare;Maria;Itatiba;Itatiba;Itatiba;Seila2;Santa Barbara;Itatiba;Jose;Santa Barbara;23;Santa Barbara
Seila2;Seila;Seila2;Seila;37;37;Campinas;51;63;Itatiba;66;Itatiba;Campinas;61;47
Americana;Americana;Neide;Itatiba;60;Neide;Neide;Americana;33;Americana;Jose;40;Campinas;16;Itatiba
Santa Barbara;Santa Barbara;40;Itatiba;Campinas;21;Jose;41;Seila;72;Americana;54;Seila;Santa Barbara;Santa Barbara
Itatiba;56;10;Maria;Itatiba;Seila2;Campinas;Seila;Sumare;Americana;Seila2;Santa Barbara;34;Campinas;Americana
Americana;Itatiba;Itatiba;Jose;54;74;19;Americana;34;Americana;Campinas;Maria;54;Sumare;Seila2
Americana;Santa Barbara;Neide;34;Maria;Campinas;40;Americana;Santa Barbara;Campinas;40;53;Itatiba;31;Itatiba
Campinas;Maria;Americana;Americana;Neide;Neide;Sumare;28;Campinas;Neide;Americana;Americana;Seila2;Seila;Neide
